ssid,status,group,vlan,tenant,auth_type,auth_cipher
CA-VAN-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-CA-VAN-BO1,IT Operations,wpa-enterprise,aes
CA-MTL-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-CA-MTL-BO1,IT Operations,wpa-enterprise,aes
CA-MTL-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-CA-MTL-BO1,IT Operations,open,auto
CA-MTL-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-CA-MTL-BO1,IT Operations,wpa-enterprise,aes
MX-MEX-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-MX-MEX-BO1,IT Operations,wpa-enterprise,aes
MX-MEX-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-MX-MEX-BO1,IT Operations,open,auto
MX-MEX-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-MX-MEX-BO1,IT Operations,wpa-enterprise,aes
BR-RIO-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-BR-RIO-BO1,IT Operations,wpa-enterprise,aes
BR-RIO-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-BR-RIO-BO1,IT Operations,open,auto
BR-RIO-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-BR-RIO-BO1,IT Operations,wpa-enterprise,aes
CO-BOG-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-CO-BOG-BO1,IT Operations,wpa-enterprise,aes
CO-BOG-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-CO-BOG-BO1,IT Operations,open,auto
CO-BOG-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-CO-BOG-BO1,IT Operations,wpa-enterprise,aes
AR-BUE-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-AR-BUE-BO1,IT Operations,wpa-enterprise,aes
AR-BUE-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-AR-BUE-BO1,IT Operations,open,auto
AR-BUE-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-AR-BUE-BO1,IT Operations,wpa-enterprise,aes
CL-SCL-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-CL-SCL-BO1,IT Operations,wpa-enterprise,aes
CL-SCL-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-CL-SCL-BO1,IT Operations,open,auto
CL-SCL-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-CL-SCL-BO1,IT Operations,wpa-enterprise,aes
PE-LIM-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-PE-LIM-BO1,IT Operations,wpa-enterprise,aes
PE-LIM-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-PE-LIM-BO1,IT Operations,open,auto
PE-LIM-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-PE-LIM-BO1,IT Operations,wpa-enterprise,aes
FR-PAR-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-FR-PAR-BO1,IT Operations,wpa-enterprise,aes
FR-PAR-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-FR-PAR-BO1,IT Operations,open,auto
FR-PAR-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-FR-PAR-BO1,IT Operations,wpa-enterprise,aes
DE-MUC-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-DE-MUC-BO1,IT Operations,wpa-enterprise,aes
DE-MUC-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-DE-MUC-BO1,IT Operations,open,auto
DE-MUC-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-DE-MUC-BO1,IT Operations,wpa-enterprise,aes
DE-FRA-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-DE-FRA-BO1,IT Operations,wpa-enterprise,aes
DE-FRA-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-DE-FRA-BO1,IT Operations,open,auto
DE-FRA-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-DE-FRA-BO1,IT Operations,wpa-enterprise,aes
ES-MAD-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-ES-MAD-BO1,IT Operations,wpa-enterprise,aes
ES-MAD-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-ES-MAD-BO1,IT Operations,open,auto
ES-MAD-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-ES-MAD-BO1,IT Operations,wpa-enterprise,aes
IT-MIL-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-IT-MIL-BO1,IT Operations,wpa-enterprise,aes
IT-MIL-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-IT-MIL-BO1,IT Operations,open,auto
IT-MIL-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-IT-MIL-BO1,IT Operations,wpa-enterprise,aes
IT-ROM-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-IT-ROM-BO1,IT Operations,wpa-enterprise,aes
IT-ROM-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-IT-ROM-BO1,IT Operations,open,auto
IT-ROM-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-IT-ROM-BO1,IT Operations,wpa-enterprise,aes
CH-ZRH-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-CH-ZRH-BO1,IT Operations,wpa-enterprise,aes
CH-ZRH-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-CH-ZRH-BO1,IT Operations,open,auto
CH-ZRH-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-CH-ZRH-BO1,IT Operations,wpa-enterprise,aes
IE-DUB-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-IE-DUB-BO1,IT Operations,wpa-enterprise,aes
IE-DUB-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-IE-DUB-BO1,IT Operations,open,auto
IE-DUB-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-IE-DUB-BO1,IT Operations,wpa-enterprise,aes
BE-BRU-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-BE-BRU-BO1,IT Operations,wpa-enterprise,aes
BE-BRU-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-BE-BRU-BO1,IT Operations,open,auto
BE-BRU-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-BE-BRU-BO1,IT Operations,wpa-enterprise,aes
AT-VIE-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-AT-VIE-BO1,IT Operations,wpa-enterprise,aes
AT-VIE-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-AT-VIE-BO1,IT Operations,open,auto
AT-VIE-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-AT-VIE-BO1,IT Operations,wpa-enterprise,aes
PT-LIS-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-PT-LIS-BO1,IT Operations,wpa-enterprise,aes
PT-LIS-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-PT-LIS-BO1,IT Operations,open,auto
PT-LIS-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-PT-LIS-BO1,IT Operations,wpa-enterprise,aes
SE-STO-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-SE-STO-BO1,IT Operations,wpa-enterprise,aes
SE-STO-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-SE-STO-BO1,IT Operations,open,auto
SE-STO-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-SE-STO-BO1,IT Operations,wpa-enterprise,aes
PL-WAW-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-PL-WAW-BO1,IT Operations,wpa-enterprise,aes
PL-WAW-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-PL-WAW-BO1,IT Operations,open,auto
PL-WAW-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-PL-WAW-BO1,IT Operations,wpa-enterprise,aes
NO-OSL-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-NO-OSL-BO1,IT Operations,wpa-enterprise,aes
NO-OSL-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-NO-OSL-BO1,IT Operations,open,auto
NO-OSL-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-NO-OSL-BO1,IT Operations,wpa-enterprise,aes
AE-DXB-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-AE-DXB-BO1,IT Operations,wpa-enterprise,aes
AE-DXB-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-AE-DXB-BO1,IT Operations,open,auto
AE-DXB-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-AE-DXB-BO1,IT Operations,wpa-enterprise,aes
SA-RUH-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-SA-RUH-BO1,IT Operations,wpa-enterprise,aes
SA-RUH-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-SA-RUH-BO1,IT Operations,open,auto
SA-RUH-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-SA-RUH-BO1,IT Operations,wpa-enterprise,aes
EG-CAI-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-EG-CAI-BO1,IT Operations,wpa-enterprise,aes
EG-CAI-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-EG-CAI-BO1,IT Operations,open,auto
EG-CAI-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-EG-CAI-BO1,IT Operations,wpa-enterprise,aes
NG-LOS-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-NG-LOS-BO1,IT Operations,wpa-enterprise,aes
NG-LOS-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-NG-LOS-BO1,IT Operations,open,auto
NG-LOS-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-NG-LOS-BO1,IT Operations,wpa-enterprise,aes
KE-NBO-BO1-CORP-WIFI,active,EMEA-Corporate-WLAN,USR-WIFI-KE-NBO-BO1,IT Operations,wpa-enterprise,aes
KE-NBO-BO1-GUEST-WIFI,active,EMEA-Guest-WLAN,GUEST-KE-NBO-BO1,IT Operations,open,auto
KE-NBO-BO1-IOT-WIFI,active,EMEA-IoT-WLAN,IOT-KE-NBO-BO1,IT Operations,wpa-enterprise,aes
HK-HKG-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-HK-HKG-BO1,IT Operations,wpa-enterprise,aes
HK-HKG-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-HK-HKG-BO1,IT Operations,open,auto
HK-HKG-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-HK-HKG-BO1,IT Operations,wpa-enterprise,aes
CN-SHA-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-CN-SHA-BO1,IT Operations,wpa-enterprise,aes
CN-SHA-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-CN-SHA-BO1,IT Operations,open,auto
CN-SHA-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-CN-SHA-BO1,IT Operations,wpa-enterprise,aes
CN-BEJ-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-CN-BEJ-BO1,IT Operations,wpa-enterprise,aes
CN-BEJ-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-CN-BEJ-BO1,IT Operations,open,auto
CN-BEJ-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-CN-BEJ-BO1,IT Operations,wpa-enterprise,aes
TW-TPE-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-TW-TPE-BO1,IT Operations,wpa-enterprise,aes
TW-TPE-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-TW-TPE-BO1,IT Operations,open,auto
TW-TPE-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-TW-TPE-BO1,IT Operations,wpa-enterprise,aes
TH-BKK-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-TH-BKK-BO1,IT Operations,wpa-enterprise,aes
TH-BKK-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-TH-BKK-BO1,IT Operations,open,auto
TH-BKK-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-TH-BKK-BO1,IT Operations,wpa-enterprise,aes
ID-JKT-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-ID-JKT-BO1,IT Operations,wpa-enterprise,aes
ID-JKT-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-ID-JKT-BO1,IT Operations,open,auto
ID-JKT-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-ID-JKT-BO1,IT Operations,wpa-enterprise,aes
PH-MNL-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-PH-MNL-BO1,IT Operations,wpa-enterprise,aes
PH-MNL-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-PH-MNL-BO1,IT Operations,open,auto
PH-MNL-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-PH-MNL-BO1,IT Operations,wpa-enterprise,aes
VN-HAN-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-VN-HAN-BO1,IT Operations,wpa-enterprise,aes
VN-HAN-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-VN-HAN-BO1,IT Operations,open,auto
VN-HAN-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-VN-HAN-BO1,IT Operations,wpa-enterprise,aes
JP-TYO-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-JP-TYO-BO1,IT Operations,wpa-enterprise,aes
JP-TYO-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-JP-TYO-BO1,IT Operations,open,auto
JP-TYO-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-JP-TYO-BO1,IT Operations,wpa-enterprise,aes
JP-OSA-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-JP-OSA-BO1,IT Operations,wpa-enterprise,aes
JP-OSA-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-JP-OSA-BO1,IT Operations,open,auto
JP-OSA-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-JP-OSA-BO1,IT Operations,wpa-enterprise,aes
KR-SEL-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-KR-SEL-BO1,IT Operations,wpa-enterprise,aes
KR-SEL-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-KR-SEL-BO1,IT Operations,open,auto
KR-SEL-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-KR-SEL-BO1,IT Operations,wpa-enterprise,aes
IN-DEL-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-IN-DEL-BO1,IT Operations,wpa-enterprise,aes
IN-DEL-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-IN-DEL-BO1,IT Operations,open,auto
IN-DEL-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-IN-DEL-BO1,IT Operations,wpa-enterprise,aes
IN-HYD-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-IN-HYD-BO1,IT Operations,wpa-enterprise,aes
IN-HYD-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-IN-HYD-BO1,IT Operations,open,auto
IN-HYD-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-IN-HYD-BO1,IT Operations,wpa-enterprise,aes
IN-CHE-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-IN-CHE-BO1,IT Operations,wpa-enterprise,aes
IN-CHE-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-IN-CHE-BO1,IT Operations,open,auto
IN-CHE-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-IN-CHE-BO1,IT Operations,wpa-enterprise,aes
IN-PUN-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-IN-PUN-BO1,IT Operations,wpa-enterprise,aes
IN-PUN-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-IN-PUN-BO1,IT Operations,open,auto
IN-PUN-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-IN-PUN-BO1,IT Operations,wpa-enterprise,aes
PK-KHI-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-PK-KHI-BO1,IT Operations,wpa-enterprise,aes
PK-KHI-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-PK-KHI-BO1,IT Operations,open,auto
PK-KHI-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-PK-KHI-BO1,IT Operations,wpa-enterprise,aes
NZ-AKL-BO1-CORP-WIFI,active,APAC-Corporate-WLAN,USR-WIFI-NZ-AKL-BO1,IT Operations,wpa-enterprise,aes
NZ-AKL-BO1-GUEST-WIFI,active,APAC-Guest-WLAN,GUEST-NZ-AKL-BO1,IT Operations,open,auto
NZ-AKL-BO1-IOT-WIFI,active,APAC-IoT-WLAN,IOT-NZ-AKL-BO1,IT Operations,wpa-enterprise,aes
