side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,status,color,length,length_unit,description
ZA-JNB-DC1-LEAF-02,dcim.interface,Ethernet1/12,ZA-JNB-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
ZA-JNB-DC1-LEAF-02,dcim.interface,Ethernet1/13,ZA-JNB-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
ZA-JNB-DC1-LEAF-02,dcim.interface,Ethernet1/14,ZA-JNB-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
HK-HKG-DC1-LEAF-01,dcim.interface,Ethernet1/11,HK-HKG-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
HK-HKG-DC1-LEAF-01,dcim.interface,Ethernet1/12,HK-HKG-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
HK-HKG-DC1-LEAF-01,dcim.interface,Ethernet1/13,HK-HKG-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
HK-HKG-DC1-LEAF-01,dcim.interface,Ethernet1/14,HK-HKG-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
HK-HKG-DC1-LEAF-02,dcim.interface,Ethernet1/11,HK-HKG-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
HK-HKG-DC1-LEAF-02,dcim.interface,Ethernet1/12,HK-HKG-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
HK-HKG-DC1-LEAF-02,dcim.interface,Ethernet1/13,HK-HKG-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
HK-HKG-DC1-LEAF-02,dcim.interface,Ethernet1/14,HK-HKG-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
JP-TYO-DC1-LEAF-01,dcim.interface,Ethernet1/11,JP-TYO-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
JP-TYO-DC1-LEAF-01,dcim.interface,Ethernet1/12,JP-TYO-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
JP-TYO-DC1-LEAF-01,dcim.interface,Ethernet1/13,JP-TYO-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
JP-TYO-DC1-LEAF-01,dcim.interface,Ethernet1/14,JP-TYO-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
JP-TYO-DC1-LEAF-02,dcim.interface,Ethernet1/11,JP-TYO-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
JP-TYO-DC1-LEAF-02,dcim.interface,Ethernet1/12,JP-TYO-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
JP-TYO-DC1-LEAF-02,dcim.interface,Ethernet1/13,JP-TYO-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
JP-TYO-DC1-LEAF-02,dcim.interface,Ethernet1/14,JP-TYO-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
