name,role,description,device_type,manufacturer,site,location,rack,status,platform,tenant,position,face
US-DAL-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-DAL-BO1,IDF 01 - Network Closet,RK-US-DAL-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-DAL-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-DAL-BO1,Floor 01,RK-US-DAL-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-DAL-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-DAL-BO1,Floor 02,RK-US-DAL-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-DAL-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-DAL-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-ATL-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-ATL-BO1,MDF - Server Room,RK-US-ATL-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-ATL-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-ATL-BO1,IDF 01 - Network Closet,RK-US-ATL-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-ATL-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-ATL-BO1,Floor 01,RK-US-ATL-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-ATL-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-ATL-BO1,Floor 02,RK-US-ATL-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-ATL-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-ATL-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-SEA-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-SEA-BO1,MDF - Server Room,RK-US-SEA-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-SEA-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-SEA-BO1,IDF 01 - Network Closet,RK-US-SEA-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-SEA-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-SEA-BO1,Floor 01,RK-US-SEA-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-SEA-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-SEA-BO1,Floor 02,RK-US-SEA-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-SEA-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-SEA-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-MIA-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-MIA-BO1,MDF - Server Room,RK-US-MIA-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-MIA-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-MIA-BO1,IDF 01 - Network Closet,RK-US-MIA-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-MIA-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-MIA-BO1,Floor 01,RK-US-MIA-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-MIA-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-MIA-BO1,Floor 02,RK-US-MIA-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-MIA-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-MIA-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-DEN-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-DEN-BO1,MDF - Server Room,RK-US-DEN-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-DEN-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-DEN-BO1,IDF 01 - Network Closet,RK-US-DEN-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-DEN-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-DEN-BO1,Floor 01,RK-US-DEN-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-DEN-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-DEN-BO1,Floor 02,RK-US-DEN-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-DEN-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-DEN-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-BOS-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-BOS-BO1,MDF - Server Room,RK-US-BOS-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-BOS-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-BOS-BO1,IDF 01 - Network Closet,RK-US-BOS-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-BOS-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-BOS-BO1,Floor 01,RK-US-BOS-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-BOS-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-BOS-BO1,Floor 02,RK-US-BOS-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-BOS-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-BOS-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-HOU-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-HOU-BO1,MDF - Server Room,RK-US-HOU-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-HOU-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-HOU-BO1,IDF 01 - Network Closet,RK-US-HOU-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-HOU-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-HOU-BO1,Floor 01,RK-US-HOU-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-HOU-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-HOU-BO1,Floor 02,RK-US-HOU-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-HOU-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-HOU-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-PHX-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-PHX-BO1,MDF - Server Room,RK-US-PHX-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-PHX-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-PHX-BO1,IDF 01 - Network Closet,RK-US-PHX-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-PHX-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-PHX-BO1,Floor 01,RK-US-PHX-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-PHX-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-PHX-BO1,Floor 02,RK-US-PHX-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-PHX-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-PHX-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
CA-VAN-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,CA-VAN-BO1,MDF - Server Room,RK-CA-VAN-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
CA-VAN-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,CA-VAN-BO1,IDF 01 - Network Closet,RK-CA-VAN-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
CA-VAN-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,CA-VAN-BO1,Floor 01,RK-CA-VAN-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
CA-VAN-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,CA-VAN-BO1,Floor 02,RK-CA-VAN-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
CA-VAN-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,CA-VAN-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
CA-MTL-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,CA-MTL-BO1,MDF - Server Room,RK-CA-MTL-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
CA-MTL-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,CA-MTL-BO1,IDF 01 - Network Closet,RK-CA-MTL-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
CA-MTL-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,CA-MTL-BO1,Floor 01,RK-CA-MTL-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
CA-MTL-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,CA-MTL-BO1,Floor 02,RK-CA-MTL-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
CA-MTL-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,CA-MTL-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
MX-MEX-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,MX-MEX-BO1,MDF - Server Room,RK-MX-MEX-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
MX-MEX-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,MX-MEX-BO1,IDF 01 - Network Closet,RK-MX-MEX-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
MX-MEX-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,MX-MEX-BO1,Floor 01,RK-MX-MEX-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
MX-MEX-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,MX-MEX-BO1,Floor 02,RK-MX-MEX-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
MX-MEX-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,MX-MEX-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
BR-RIO-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,BR-RIO-BO1,MDF - Server Room,RK-BR-RIO-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
BR-RIO-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,BR-RIO-BO1,IDF 01 - Network Closet,RK-BR-RIO-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
BR-RIO-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,BR-RIO-BO1,Floor 01,RK-BR-RIO-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
BR-RIO-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,BR-RIO-BO1,Floor 02,RK-BR-RIO-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
BR-RIO-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,BR-RIO-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
CO-BOG-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,CO-BOG-BO1,MDF - Server Room,RK-CO-BOG-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
CO-BOG-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,CO-BOG-BO1,IDF 01 - Network Closet,RK-CO-BOG-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
CO-BOG-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,CO-BOG-BO1,Floor 01,RK-CO-BOG-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
CO-BOG-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,CO-BOG-BO1,Floor 02,RK-CO-BOG-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
CO-BOG-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,CO-BOG-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
AR-BUE-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,AR-BUE-BO1,MDF - Server Room,RK-AR-BUE-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
AR-BUE-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,AR-BUE-BO1,IDF 01 - Network Closet,RK-AR-BUE-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
AR-BUE-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,AR-BUE-BO1,Floor 01,RK-AR-BUE-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
AR-BUE-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,AR-BUE-BO1,Floor 02,RK-AR-BUE-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
AR-BUE-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,AR-BUE-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
CL-SCL-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,CL-SCL-BO1,MDF - Server Room,RK-CL-SCL-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
CL-SCL-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,CL-SCL-BO1,IDF 01 - Network Closet,RK-CL-SCL-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
CL-SCL-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,CL-SCL-BO1,Floor 01,RK-CL-SCL-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
CL-SCL-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,CL-SCL-BO1,Floor 02,RK-CL-SCL-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
CL-SCL-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,CL-SCL-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
PE-LIM-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,PE-LIM-BO1,MDF - Server Room,RK-PE-LIM-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
PE-LIM-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,PE-LIM-BO1,IDF 01 - Network Closet,RK-PE-LIM-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
PE-LIM-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,PE-LIM-BO1,Floor 01,RK-PE-LIM-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
PE-LIM-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,PE-LIM-BO1,Floor 02,RK-PE-LIM-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
PE-LIM-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,PE-LIM-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
FR-PAR-DC1-SPINE-01,Spine Switch,Primary Fabric Spine 01,Nexus 9508,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-01,active,Cisco NX-OS,IT Operations,1,front
FR-PAR-DC1-SPINE-02,Spine Switch,Primary Fabric Spine 02,Nexus 9508,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-01,active,Cisco NX-OS,IT Operations,14,front
FR-PAR-DC1-BORDER-01,Border Leaf,External Connectivity A,Nexus 93180YC-FX,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-01,active,Cisco NX-OS,IT Operations,45,front
FR-PAR-DC1-BORDER-02,Border Leaf,External Connectivity B,Nexus 93180YC-FX,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-01,active,Cisco NX-OS,IT Operations,44,front
FR-PAR-DC1-FW-01,Firewall,DC Edge Firewall Primary,FPR2130-NGFW-K9,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-02,active,Cisco FTD,IT Operations,48,front
FR-PAR-DC1-FW-02,Firewall,DC Edge Firewall Redundant,FPR2130-NGFW-K9,Cisco,FR-PAR-DC1,MDF - Network Room,RK-FR-PAR-DC1-CORE-02,active,Cisco FTD,IT Operations,46,front
FR-PAR-DC1-EDGE-01,Edge Router,Internet Peering Router A,ASR1001-X,Cisco,FR-PAR-DC1,Meet-Me Room (MMR),RK-FR-PAR-DC1-NET-01,active,Cisco IOS-XE,IT Operations,48,front
FR-PAR-DC1-EDGE-02,Edge Router,Internet Peering Router B,ASR1001-X,Cisco,FR-PAR-DC1,Meet-Me Room (MMR),RK-FR-PAR-DC1-NET-01,active,Cisco IOS-XE,IT Operations,46,front
FR-PAR-DC1-LEAF-01,Leaf Switch,ToR Leaf – Rack SRV-01,Nexus 93180YC-FX,Cisco,FR-PAR-DC1,Data Hall 01,RK-FR-PAR-DC1-SRV-01,active,Cisco NX-OS,IT Operations,42,front
FR-PAR-DC1-LEAF-02,Leaf Switch,ToR Leaf – Rack SRV-02,Nexus 93180YC-FX,Cisco,FR-PAR-DC1,Data Hall 01,RK-FR-PAR-DC1-SRV-02,active,Cisco NX-OS,IT Operations,42,front
FR-PAR-DC1-LEAF-03,Leaf Switch,ToR Leaf – Rack SRV-03,Nexus 93180YC-FX,Cisco,FR-PAR-DC1,Data Hall 02,RK-FR-PAR-DC1-SRV-03,active,Cisco NX-OS,IT Operations,42,front
FR-PAR-DC1-ACC-01,Access Switch,Staging Area Access,Catalyst 9300-48P,Cisco,FR-PAR-DC1,Staging Area,RK-FR-PAR-DC1-STG-01,active,Cisco IOS-XE,IT Operations,45,front
FR-PAR-BO1-CORE-01,Core Switch,HQ Core Switch A,Catalyst 9606R,Cisco,FR-PAR-BO1,MDF - Server Room,RK-FR-PAR-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,1,front
FR-PAR-BO1-DIST-01,Distribution Switch,HQ Distribution Switch,Catalyst 9500-48Y4C,Cisco,FR-PAR-BO1,MDF - Server Room,RK-FR-PAR-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,14,front
FR-PAR-BO1-FW-01,Firewall,HQ Perimeter Firewall,FPR2130-NGFW-K9,Cisco,FR-PAR-BO1,MDF - Server Room,RK-FR-PAR-BO1-SRV-01,active,Cisco FTD,IT Operations,42,front
FR-PAR-BO1-WLC-01,Wireless Controller,HQ Wireless Controller,Catalyst 9800-80-K9,Cisco,FR-PAR-BO1,MDF - Server Room,RK-FR-PAR-BO1-SRV-01,active,Cisco IOS-XE WLC,IT Operations,40,front
FR-PAR-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9300-48P,Cisco,FR-PAR-BO1,IDF 01 - Network Closet,RK-FR-PAR-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
FR-PAR-BO1-ACC-02,Access Switch,IDF 02 Access Switch,Catalyst 9300-48P,Cisco,FR-PAR-BO1,IDF 02 - Network Closet,RK-FR-PAR-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
FR-PAR-BO1-ACC-03,Access Switch,Floor 01 Access Switch,Catalyst 9300-48P,Cisco,FR-PAR-BO1,Floor 01,RK-FR-PAR-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
FR-PAR-BO1-ACC-04,Access Switch,Floor 02 Access Switch,Catalyst 9300-48P,Cisco,FR-PAR-BO1,Floor 02,RK-FR-PAR-BO1-ACC-04,active,Cisco IOS-XE,IT Operations,12,front
FR-PAR-BO1-ACC-05,Access Switch,Floor 03 Access Switch,Catalyst 9300-48P,Cisco,FR-PAR-BO1,Floor 03,RK-FR-PAR-BO1-ACC-05,active,Cisco IOS-XE,IT Operations,12,front
FR-PAR-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP 01,Catalyst 9136I-E,Cisco,FR-PAR-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
FR-PAR-BO1-WAP-02,Wireless Access Point,Floor 02 WiFi AP 01,Catalyst 9136I-E,Cisco,FR-PAR-BO1,Floor 02,,active,Cisco AP CAPWAP,IT Operations,,
FR-PAR-BO1-WAP-03,Wireless Access Point,Floor 03 WiFi AP 01,Catalyst 9136I-E,Cisco,FR-PAR-BO1,Floor 03,,active,Cisco AP CAPWAP,IT Operations,,
DE-MUC-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,DE-MUC-BO1,MDF - Server Room,RK-DE-MUC-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
DE-MUC-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,DE-MUC-BO1,IDF 01 - Network Closet,RK-DE-MUC-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
DE-MUC-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,DE-MUC-BO1,Floor 01,RK-DE-MUC-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
DE-MUC-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,DE-MUC-BO1,Floor 02,RK-DE-MUC-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
